azure_region,service_type,demand_units,capacity_allocated,service_availability,is_holiday,gdp_growth_rate,inflation_rate,it_sector_growth_index,year,month,quarter,day_of_week,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_7,day,forecast
US,Storage,238,258,99.56,0,7.0,3.85,95.45,2023,5,2,0,240.0,253.0,196.0,167.0,148.0,192.0,185.0,204.85714285714286,1,221.05684
Europe,Compute,103,142,99.57,0,7.0,3.85,95.45,2023,5,2,0,238.0,240.0,253.0,196.0,167.0,148.0,192.0,192.14285714285714,1,108.27273
Europe,Storage,138,189,99.61,0,7.0,3.85,95.45,2023,5,2,0,103.0,238.0,240.0,253.0,196.0,167.0,148.0,190.71428571428572,1,147.19589
India,Compute,231,252,99.57,0,7.0,3.85,95.45,2023,5,2,1,138.0,103.0,238.0,240.0,253.0,196.0,167.0,199.85714285714286,2,214.59229
India,Storage,269,289,99.63,0,7.0,3.85,95.45,2023,5,2,1,231.0,138.0,103.0,238.0,240.0,253.0,196.0,210.28571428571428,2,256.17746
US,Compute,184,220,99.62,0,7.0,3.85,95.45,2023,5,2,1,269.0,231.0,138.0,103.0,238.0,240.0,253.0,200.42857142857142,2,177.65614
US,Storage,236,286,99.55,0,7.0,3.85,95.45,2023,5,2,1,184.0,269.0,231.0,138.0,103.0,238.0,240.0,199.85714285714286,2,247.58028
Europe,Compute,161,192,99.88,0,7.0,3.85,95.45,2023,5,2,1,236.0,184.0,269.0,231.0,138.0,103.0,238.0,188.85714285714286,2,155.60983
Europe,Storage,170,208,99.98,0,7.0,3.85,95.45,2023,5,2,1,161.0,236.0,184.0,269.0,231.0,138.0,103.0,198.42857142857142,2,166.549
India,Compute,258,297,99.8,0,7.0,3.85,95.45,2023,5,2,2,170.0,161.0,236.0,184.0,269.0,231.0,138.0,215.57142857142858,3,257.0672
India,Storage,127,173,99.83,0,7.0,3.85,95.45,2023,5,2,2,258.0,170.0,161.0,236.0,184.0,269.0,231.0,200.71428571428572,3,137.30315
US,Compute,142,179,99.81,0,7.0,3.85,95.45,2023,5,2,2,127.0,258.0,170.0,161.0,236.0,184.0,269.0,182.57142857142858,3,136.72984
US,Storage,213,262,99.77,0,7.0,3.85,95.45,2023,5,2,2,142.0,127.0,258.0,170.0,161.0,236.0,184.0,186.71428571428572,3,221.18407
Europe,Compute,207,241,99.6,0,7.0,3.85,95.45,2023,5,2,2,213.0,142.0,127.0,258.0,170.0,161.0,236.0,182.57142857142858,3,203.6176
Europe,Storage,185,230,99.85,0,7.0,3.85,95.45,2023,5,2,2,207.0,213.0,142.0,127.0,258.0,170.0,161.0,186.0,3,191.0742
India,Compute,152,191,99.57,0,7.0,3.85,95.45,2023,5,2,3,185.0,207.0,213.0,142.0,127.0,258.0,170.0,183.42857142857142,4,152.59059
India,Storage,118,143,99.64,0,7.0,3.85,95.45,2023,5,2,3,152.0,185.0,207.0,213.0,142.0,127.0,258.0,163.42857142857142,4,111.87678
US,Compute,141,175,99.68,0,7.0,3.85,95.45,2023,5,2,3,118.0,152.0,185.0,207.0,213.0,142.0,127.0,165.42857142857142,4,133.738
US,Storage,172,211,99.9,0,7.0,3.85,95.45,2023,5,2,3,141.0,118.0,152.0,185.0,207.0,213.0,142.0,169.71428571428572,4,168.51123
Europe,Compute,221,247,99.93,0,7.0,3.85,95.45,2023,5,2,3,172.0,141.0,118.0,152.0,185.0,207.0,213.0,170.85714285714286,4,207.41034
Europe,Storage,243,293,99.88,0,7.0,3.85,95.45,2023,5,2,3,221.0,172.0,141.0,118.0,152.0,185.0,207.0,176.0,4,250.64537
India,Compute,214,243,99.75,0,7.0,3.85,95.45,2023,5,2,4,243.0,221.0,172.0,141.0,118.0,152.0,185.0,180.14285714285714,5,203.8201
India,Storage,274,300,99.77,0,7.0,3.85,95.45,2023,5,2,4,214.0,243.0,221.0,172.0,141.0,118.0,152.0,197.57142857142858,5,260.36285
US,Compute,189,230,99.71,0,7.0,3.85,95.45,2023,5,2,4,274.0,214.0,243.0,221.0,172.0,141.0,118.0,207.71428571428572,5,187.83948
US,Storage,138,187,99.99,0,7.0,3.85,95.45,2023,5,2,4,189.0,274.0,214.0,243.0,221.0,172.0,141.0,207.28571428571428,5,144.645
Europe,Compute,142,185,99.66,0,7.0,3.85,95.45,2023,5,2,4,138.0,189.0,274.0,214.0,243.0,221.0,172.0,203.0,5,145.4438
Europe,Storage,124,160,99.56,0,7.0,3.85,95.45,2023,5,2,4,142.0,138.0,189.0,274.0,214.0,243.0,221.0,189.14285714285714,5,118.050224
India,Compute,283,315,99.88,0,7.0,3.85,95.45,2023,5,2,5,124.0,142.0,138.0,189.0,274.0,214.0,243.0,194.85714285714286,6,276.42636
India,Storage,154,204,99.58,0,7.0,3.85,95.45,2023,5,2,5,283.0,124.0,142.0,138.0,189.0,274.0,214.0,186.28571428571428,6,163.9544
US,Compute,294,347,99.62,0,7.0,3.85,95.45,2023,5,2,5,154.0,283.0,124.0,142.0,138.0,189.0,274.0,189.14285714285714,6,291.38388
US,Storage,107,166,99.77,0,7.0,3.85,95.45,2023,5,2,5,294.0,154.0,283.0,124.0,142.0,138.0,189.0,177.42857142857142,6,123.39084
Europe,Compute,232,262,99.98,0,7.0,3.85,95.45,2023,5,2,5,107.0,294.0,154.0,283.0,124.0,142.0,138.0,190.85714285714286,6,223.0979
Europe,Storage,114,152,99.77,0,7.0,3.85,95.45,2023,5,2,5,232.0,107.0,294.0,154.0,283.0,124.0,142.0,186.85714285714286,6,117.22156
India,Compute,164,221,99.64,1,7.0,3.85,95.45,2023,5,2,6,114.0,232.0,107.0,294.0,154.0,283.0,124.0,192.57142857142858,7,176.34055
India,Storage,288,323,99.77,1,7.0,3.85,95.45,2023,5,2,6,164.0,114.0,232.0,107.0,294.0,154.0,283.0,193.28571428571428,7,283.65466
US,Compute,139,159,99.59,1,7.0,3.85,95.45,2023,5,2,6,288.0,164.0,114.0,232.0,107.0,294.0,154.0,191.14285714285714,7,121.606705
US,Storage,107,128,99.6,1,7.0,3.85,95.45,2023,5,2,6,139.0,288.0,164.0,114.0,232.0,107.0,294.0,164.42857142857142,7,106.22108
Europe,Compute,147,196,99.92,1,7.0,3.85,95.45,2023,5,2,6,107.0,139.0,288.0,164.0,114.0,232.0,107.0,170.14285714285714,7,151.85384
Europe,Storage,191,248,99.85,1,7.0,3.85,95.45,2023,5,2,6,147.0,107.0,139.0,288.0,164.0,114.0,232.0,164.28571428571428,7,206.01758
India,Compute,259,287,99.98,0,7.0,3.85,95.45,2023,5,2,0,191.0,147.0,107.0,139.0,288.0,164.0,114.0,185.0,8,249.58165
India,Storage,126,158,99.52,0,7.0,3.85,95.45,2023,5,2,0,259.0,191.0,147.0,107.0,139.0,288.0,164.0,179.57142857142858,8,121.36797
US,Compute,226,247,99.9,0,7.0,3.85,95.45,2023,5,2,0,126.0,259.0,191.0,147.0,107.0,139.0,288.0,170.71428571428572,8,210.94223
US,Storage,138,180,99.5,0,7.0,3.85,95.45,2023,5,2,0,226.0,126.0,259.0,191.0,147.0,107.0,139.0,170.57142857142858,8,139.60866
Europe,Compute,129,169,99.86,0,7.0,3.85,95.45,2023,5,2,0,138.0,226.0,126.0,259.0,191.0,147.0,107.0,173.71428571428572,8,128.90443
Europe,Storage,175,216,99.85,0,7.0,3.85,95.45,2023,5,2,0,129.0,138.0,226.0,126.0,259.0,191.0,147.0,177.71428571428572,8,172.49886
India,Compute,168,197,99.69,0,7.0,3.85,95.45,2023,5,2,1,175.0,129.0,138.0,226.0,126.0,259.0,191.0,174.42857142857142,9,156.2311
India,Storage,108,148,99.58,0,7.0,3.85,95.45,2023,5,2,1,168.0,175.0,129.0,138.0,226.0,126.0,259.0,152.85714285714286,9,115.64681
US,Compute,201,247,99.91,0,7.0,3.85,95.45,2023,5,2,1,108.0,168.0,175.0,129.0,138.0,226.0,126.0,163.57142857142858,9,205.78201
US,Storage,213,248,99.87,0,7.0,3.85,95.45,2023,5,2,1,201.0,108.0,168.0,175.0,129.0,138.0,226.0,161.71428571428572,9,204.99515
Europe,Compute,223,249,99.84,0,7.0,3.85,95.45,2023,5,2,1,213.0,201.0,108.0,168.0,175.0,129.0,138.0,173.85714285714286,9,212.21487
Europe,Storage,294,330,99.71,0,7.0,3.85,95.45,2023,5,2,1,223.0,213.0,201.0,108.0,168.0,175.0,129.0,197.42857142857142,9,286.46515
India,Compute,271,330,99.91,0,7.0,3.85,95.45,2023,5,2,2,294.0,223.0,213.0,201.0,108.0,168.0,175.0,211.14285714285714,10,283.42465
India,Storage,159,211,99.92,0,7.0,3.85,95.45,2023,5,2,2,271.0,294.0,223.0,213.0,201.0,108.0,168.0,209.85714285714286,10,166.6536
US,Compute,200,240,99.56,0,7.0,3.85,95.45,2023,5,2,2,159.0,271.0,294.0,223.0,213.0,201.0,108.0,223.0,10,203.3308
US,Storage,243,267,99.74,0,7.0,3.85,95.45,2023,5,2,2,200.0,159.0,271.0,294.0,223.0,213.0,201.0,229.0,10,231.74892
Europe,Compute,277,330,99.97,0,7.0,3.85,95.45,2023,5,2,2,243.0,200.0,159.0,271.0,294.0,223.0,213.0,238.14285714285714,10,285.34766
Europe,Storage,249,288,99.56,0,7.0,3.85,95.45,2023,5,2,2,277.0,243.0,200.0,159.0,271.0,294.0,223.0,241.85714285714286,10,247.2008
India,Compute,100,153,99.89,0,7.0,3.85,95.45,2023,5,2,3,249.0,277.0,243.0,200.0,159.0,271.0,294.0,214.14285714285714,11,114.51254
India,Storage,168,219,99.79,0,7.0,3.85,95.45,2023,5,2,3,100.0,249.0,277.0,243.0,200.0,159.0,271.0,199.42857142857142,11,175.303
US,Compute,217,270,99.52,0,7.0,3.85,95.45,2023,5,2,3,168.0,100.0,249.0,277.0,243.0,200.0,159.0,207.71428571428572,11,231.18906
US,Storage,299,356,99.95,0,7.0,3.85,95.45,2023,5,2,3,217.0,168.0,100.0,249.0,277.0,243.0,200.0,221.85714285714286,11,293.66702
Europe,Compute,100,127,99.53,0,7.0,3.85,95.45,2023,5,2,3,299.0,217.0,168.0,100.0,249.0,277.0,243.0,201.42857142857142,11,104.04424
Europe,Storage,227,279,99.59,0,7.0,3.85,95.45,2023,5,2,3,100.0,299.0,217.0,168.0,100.0,249.0,277.0,194.28571428571428,11,236.27325
India,Compute,163,190,99.71,0,7.0,3.85,95.45,2023,5,2,4,227.0,100.0,299.0,217.0,168.0,100.0,249.0,182.0,12,152.49792
India,Storage,121,144,99.51,0,7.0,3.85,95.45,2023,5,2,4,163.0,227.0,100.0,299.0,217.0,168.0,100.0,185.0,12,119.176506
US,Compute,181,239,99.54,0,7.0,3.85,95.45,2023,5,2,4,121.0,163.0,227.0,100.0,299.0,217.0,168.0,186.85714285714286,12,193.12808
US,Storage,288,319,99.85,0,7.0,3.85,95.45,2023,5,2,4,181.0,121.0,163.0,227.0,100.0,299.0,217.0,197.0,12,281.82114
Europe,Compute,240,267,99.64,0,7.0,3.85,95.45,2023,5,2,4,288.0,181.0,121.0,163.0,227.0,100.0,299.0,188.57142857142858,12,235.58087
Europe,Storage,268,309,99.63,0,7.0,3.85,95.45,2023,5,2,4,240.0,288.0,181.0,121.0,163.0,227.0,100.0,212.57142857142858,12,267.9876
India,Compute,175,201,99.8,0,7.0,3.85,95.45,2023,5,2,5,268.0,240.0,288.0,181.0,121.0,163.0,227.0,205.14285714285714,13,164.729
India,Storage,129,170,99.94,0,7.0,3.85,95.45,2023,5,2,5,175.0,268.0,240.0,288.0,181.0,121.0,163.0,200.28571428571428,13,127.2257
US,Compute,219,270,99.78,0,7.0,3.85,95.45,2023,5,2,5,129.0,175.0,268.0,240.0,288.0,181.0,121.0,214.28571428571428,13,231.46092
US,Storage,262,305,99.52,0,7.0,3.85,95.45,2023,5,2,5,219.0,129.0,175.0,268.0,240.0,288.0,181.0,225.85714285714286,13,262.55167
Europe,Compute,209,248,99.94,0,7.0,3.85,95.45,2023,5,2,5,262.0,219.0,129.0,175.0,268.0,240.0,288.0,214.57142857142858,13,208.47336
Europe,Storage,207,254,99.91,0,7.0,3.85,95.45,2023,5,2,5,209.0,262.0,219.0,129.0,175.0,268.0,240.0,209.85714285714286,13,214.77344
India,Compute,184,229,99.77,1,7.0,3.85,95.45,2023,5,2,6,207.0,209.0,262.0,219.0,129.0,175.0,268.0,197.85714285714286,14,186.73492
India,Storage,253,304,99.81,1,7.0,3.85,95.45,2023,5,2,6,184.0,207.0,209.0,262.0,219.0,129.0,175.0,209.0,14,262.9107
US,Compute,104,125,99.96,1,7.0,3.85,95.45,2023,5,2,6,253.0,184.0,207.0,209.0,262.0,219.0,129.0,205.42857142857142,14,106.98084
US,Storage,140,191,99.66,1,7.0,3.85,95.45,2023,5,2,6,104.0,253.0,184.0,207.0,209.0,262.0,219.0,194.14285714285714,14,148.98096
Europe,Compute,247,281,99.92,1,7.0,3.85,95.45,2023,5,2,6,140.0,104.0,253.0,184.0,207.0,209.0,262.0,192.0,14,243.0972
Europe,Storage,131,165,99.91,1,7.0,3.85,95.45,2023,5,2,6,247.0,140.0,104.0,253.0,184.0,207.0,209.0,180.85714285714286,14,125.38757
India,Compute,167,213,99.8,0,7.0,3.85,95.45,2023,5,2,0,131.0,247.0,140.0,104.0,253.0,184.0,207.0,175.14285714285714,15,172.22177
India,Storage,221,257,99.53,0,7.0,3.85,95.45,2023,5,2,0,167.0,131.0,247.0,140.0,104.0,253.0,184.0,180.42857142857142,15,215.78629
US,Compute,178,223,99.75,0,7.0,3.85,95.45,2023,5,2,0,221.0,167.0,131.0,247.0,140.0,104.0,253.0,169.71428571428572,15,182.20802
US,Storage,155,209,99.51,0,7.0,3.85,95.45,2023,5,2,0,178.0,221.0,167.0,131.0,247.0,140.0,104.0,177.0,15,168.14531
Europe,Compute,242,279,99.57,0,7.0,3.85,95.45,2023,5,2,0,155.0,178.0,221.0,167.0,131.0,247.0,140.0,191.57142857142858,15,237.34631
Europe,Storage,169,214,99.75,0,7.0,3.85,95.45,2023,5,2,0,242.0,155.0,178.0,221.0,167.0,131.0,247.0,180.42857142857142,15,171.1278
India,Compute,281,312,99.98,0,7.0,3.85,95.45,2023,5,2,1,169.0,242.0,155.0,178.0,221.0,167.0,131.0,201.85714285714286,16,272.51562
India,Storage,211,251,99.52,0,7.0,3.85,95.45,2023,5,2,1,281.0,169.0,242.0,155.0,178.0,221.0,167.0,208.14285714285714,16,212.67374
US,Compute,251,290,99.75,0,7.0,3.85,95.45,2023,5,2,1,211.0,281.0,169.0,242.0,155.0,178.0,221.0,212.42857142857142,16,252.16827
US,Storage,258,307,99.76,0,7.0,3.85,95.45,2023,5,2,1,251.0,211.0,281.0,169.0,242.0,155.0,178.0,223.85714285714286,16,264.65625
Europe,Compute,148,207,99.87,0,7.0,3.85,95.45,2023,5,2,1,258.0,251.0,211.0,281.0,169.0,242.0,155.0,222.85714285714286,16,164.01353
Europe,Storage,291,345,99.55,0,7.0,3.85,95.45,2023,5,2,1,148.0,258.0,251.0,211.0,281.0,169.0,242.0,229.85714285714286,16,292.57278
India,Compute,221,250,99.86,0,7.0,3.85,95.45,2023,5,2,2,291.0,148.0,258.0,251.0,211.0,281.0,169.0,237.28571428571428,17,210.8232
India,Storage,296,316,99.56,0,7.0,3.85,95.45,2023,5,2,2,221.0,291.0,148.0,258.0,251.0,211.0,281.0,239.42857142857142,17,281.38107
US,Compute,155,201,99.88,0,7.0,3.85,95.45,2023,5,2,2,296.0,221.0,291.0,148.0,258.0,251.0,211.0,231.42857142857142,17,162.74521
US,Storage,161,200,99.59,0,7.0,3.85,95.45,2023,5,2,2,155.0,296.0,221.0,291.0,148.0,258.0,251.0,218.57142857142858,17,162.33778
Europe,Compute,110,168,99.73,0,7.0,3.85,95.45,2023,5,2,2,161.0,155.0,296.0,221.0,291.0,148.0,258.0,197.42857142857142,17,122.55895
Europe,Storage,165,188,99.97,0,7.0,3.85,95.45,2023,5,2,2,110.0,161.0,155.0,296.0,221.0,291.0,148.0,199.85714285714286,17,150.55014
India,Compute,129,177,99.79,0,7.0,3.85,95.45,2023,5,2,3,165.0,110.0,161.0,155.0,296.0,221.0,291.0,176.71428571428572,18,134.31213
India,Storage,211,232,99.63,0,7.0,3.85,95.45,2023,5,2,3,129.0,165.0,110.0,161.0,155.0,296.0,221.0,175.28571428571428,18,195.90823
US,Compute,235,279,99.99,0,7.0,3.85,95.45,2023,5,2,3,211.0,129.0,165.0,110.0,161.0,155.0,296.0,166.57142857142858,18,233.15816
US,Storage,244,282,99.63,0,7.0,3.85,95.45,2023,5,2,3,235.0,211.0,129.0,165.0,110.0,161.0,155.0,179.28571428571428,18,246.84421
Europe,Compute,137,188,99.52,0,7.0,3.85,95.45,2023,5,2,3,244.0,235.0,211.0,129.0,165.0,110.0,161.0,175.85714285714286,18,146.39671
Europe,Storage,239,269,99.55,0,7.0,3.85,95.45,2023,5,2,3,137.0,244.0,235.0,211.0,129.0,165.0,110.0,194.28571428571428,18,231.58543
India,Compute,109,150,99.96,0,7.0,3.85,95.45,2023,5,2,4,239.0,137.0,244.0,235.0,211.0,129.0,165.0,186.28571428571428,19,114.278496
India,Storage,274,331,99.88,0,7.0,3.85,95.45,2023,5,2,4,109.0,239.0,137.0,244.0,235.0,211.0,129.0,207.0,19,284.8875
US,Compute,102,159,99.81,0,7.0,3.85,95.45,2023,5,2,4,274.0,109.0,239.0,137.0,244.0,235.0,211.0,191.42857142857142,19,115.6829
US,Storage,148,180,99.9,0,7.0,3.85,95.45,2023,5,2,4,102.0,274.0,109.0,239.0,137.0,244.0,235.0,179.0,19,139.62943
Europe,Compute,114,150,99.94,0,7.0,3.85,95.45,2023,5,2,4,148.0,102.0,274.0,109.0,239.0,137.0,244.0,160.42857142857142,19,115.44369
Europe,Storage,195,222,99.55,0,7.0,3.85,95.45,2023,5,2,4,114.0,148.0,102.0,274.0,109.0,239.0,137.0,168.71428571428572,19,187.51382
India,Compute,178,208,99.69,0,7.0,3.85,95.45,2023,5,2,5,195.0,114.0,148.0,102.0,274.0,109.0,239.0,160.0,20,166.85326
India,Storage,222,279,99.54,0,7.0,3.85,95.45,2023,5,2,5,178.0,195.0,114.0,148.0,102.0,274.0,109.0,176.14285714285714,20,233.93852
US,Compute,212,233,99.89,0,7.0,3.85,95.45,2023,5,2,5,222.0,178.0,195.0,114.0,148.0,102.0,274.0,167.28571428571428,20,196.86409
US,Storage,280,315,99.68,0,7.0,3.85,95.45,2023,5,2,5,212.0,222.0,178.0,195.0,114.0,148.0,102.0,192.71428571428572,20,275.04092
Europe,Compute,128,172,99.77,0,7.0,3.85,95.45,2023,5,2,5,280.0,212.0,222.0,178.0,195.0,114.0,148.0,189.85714285714286,20,130.16896
Europe,Storage,112,159,99.89,0,7.0,3.85,95.45,2023,5,2,5,128.0,280.0,212.0,222.0,178.0,195.0,114.0,189.57142857142858,20,115.43717
India,Compute,204,233,99.74,1,7.0,3.85,95.45,2023,5,2,6,112.0,128.0,280.0,212.0,222.0,178.0,195.0,190.85714285714286,21,192.40341
India,Storage,121,153,99.71,1,7.0,3.85,95.45,2023,5,2,6,204.0,112.0,128.0,280.0,212.0,222.0,178.0,182.71428571428572,21,116.04271
US,Compute,212,251,99.9,1,7.0,3.85,95.45,2023,5,2,6,121.0,204.0,112.0,128.0,280.0,212.0,222.0,181.28571428571428,21,212.2853
US,Storage,144,180,99.51,1,7.0,3.85,95.45,2023,5,2,6,212.0,121.0,204.0,112.0,128.0,280.0,212.0,171.57142857142858,21,140.09048
Europe,Compute,297,346,99.63,1,7.0,3.85,95.45,2023,5,2,6,144.0,212.0,121.0,204.0,112.0,128.0,280.0,174.0,21,292.6371
Europe,Storage,184,233,99.94,1,7.0,3.85,95.45,2023,5,2,6,297.0,144.0,212.0,121.0,204.0,112.0,128.0,182.0,21,192.35881
India,Compute,253,285,99.67,0,7.0,3.85,95.45,2023,5,2,0,184.0,297.0,144.0,212.0,121.0,204.0,112.0,202.14285714285714,22,244.19217
India,Storage,270,325,99.5,0,7.0,3.85,95.45,2023,5,2,0,253.0,184.0,297.0,144.0,212.0,121.0,204.0,211.57142857142858,22,281.23163
US,Compute,254,283,99.97,0,7.0,3.85,95.45,2023,5,2,0,270.0,253.0,184.0,297.0,144.0,212.0,121.0,230.57142857142858,22,247.84581
US,Storage,296,333,99.6,0,7.0,3.85,95.45,2023,5,2,0,254.0,270.0,253.0,184.0,297.0,144.0,212.0,242.57142857142858,22,289.89014
Europe,Compute,154,211,99.71,0,7.0,3.85,95.45,2023,5,2,0,296.0,254.0,270.0,253.0,184.0,297.0,144.0,244.0,22,167.00859
Europe,Storage,219,239,99.76,0,7.0,3.85,95.45,2023,5,2,0,154.0,296.0,254.0,270.0,253.0,184.0,297.0,232.85714285714286,22,205.19763
India,Compute,161,194,99.6,0,7.0,3.85,95.45,2023,5,2,1,219.0,154.0,296.0,254.0,270.0,253.0,184.0,229.57142857142858,23,157.39117
India,Storage,142,187,99.96,0,7.0,3.85,95.45,2023,5,2,1,161.0,219.0,154.0,296.0,254.0,270.0,253.0,213.71428571428572,23,146.37453
US,Compute,207,265,99.59,0,7.0,3.85,95.45,2023,5,2,1,142.0,161.0,219.0,154.0,296.0,254.0,270.0,204.71428571428572,23,225.69965
US,Storage,256,313,99.69,0,7.0,3.85,95.45,2023,5,2,1,207.0,142.0,161.0,219.0,154.0,296.0,254.0,205.0,23,272.0205
Europe,Compute,105,132,99.7,0,7.0,3.85,95.45,2023,5,2,1,256.0,207.0,142.0,161.0,219.0,154.0,296.0,177.71428571428572,23,106.14061
Europe,Storage,240,262,99.68,0,7.0,3.85,95.45,2023,5,2,1,105.0,256.0,207.0,142.0,161.0,219.0,154.0,190.0,23,225.3911
India,Compute,261,281,99.69,0,7.0,3.85,95.45,2023,5,2,2,240.0,105.0,256.0,207.0,142.0,161.0,219.0,196.0,24,246.04755
India,Storage,122,151,99.69,0,7.0,3.85,95.45,2023,5,2,2,261.0,240.0,105.0,256.0,207.0,142.0,161.0,190.42857142857142,24,116.128105
US,Compute,212,252,99.72,0,7.0,3.85,95.45,2023,5,2,2,122.0,261.0,240.0,105.0,256.0,207.0,142.0,200.42857142857142,24,213.67302
US,Storage,170,212,99.67,0,7.0,3.85,95.45,2023,5,2,2,212.0,122.0,261.0,240.0,105.0,256.0,207.0,195.14285714285714,24,171.7583
Europe,Compute,231,257,99.7,0,7.0,3.85,95.45,2023,5,2,2,170.0,212.0,122.0,261.0,240.0,105.0,256.0,191.57142857142858,24,220.03067
Europe,Storage,252,277,99.63,0,7.0,3.85,95.45,2023,5,2,2,231.0,170.0,212.0,122.0,261.0,240.0,105.0,212.57142857142858,24,238.22643
India,Compute,177,202,99.53,0,7.0,3.85,95.45,2023,5,2,3,252.0,231.0,170.0,212.0,122.0,261.0,240.0,203.57142857142858,25,163.67671
India,Storage,228,284,99.81,0,7.0,3.85,95.45,2023,5,2,3,177.0,252.0,231.0,170.0,212.0,122.0,261.0,198.85714285714286,25,244.43492
US,Compute,227,284,99.52,0,7.0,3.85,95.45,2023,5,2,3,228.0,177.0,252.0,231.0,170.0,212.0,122.0,213.85714285714286,25,244.23485
US,Storage,102,157,99.65,0,7.0,3.85,95.45,2023,5,2,3,227.0,228.0,177.0,252.0,231.0,170.0,212.0,198.14285714285714,25,114.812164
Europe,Compute,131,176,99.56,0,7.0,3.85,95.45,2023,5,2,3,102.0,227.0,228.0,177.0,252.0,231.0,170.0,192.57142857142858,25,133.79167
Europe,Storage,124,146,99.63,0,7.0,3.85,95.45,2023,5,2,3,131.0,102.0,227.0,228.0,177.0,252.0,231.0,177.28571428571428,25,113.46493
India,Compute,193,239,99.85,0,7.0,3.85,95.45,2023,5,2,4,124.0,131.0,102.0,227.0,228.0,177.0,252.0,168.85714285714286,26,204.76733
India,Storage,281,322,99.75,0,7.0,3.85,95.45,2023,5,2,4,193.0,124.0,131.0,102.0,227.0,228.0,177.0,183.71428571428572,26,281.04343
US,Compute,286,333,99.55,0,7.0,3.85,95.45,2023,5,2,4,281.0,193.0,124.0,131.0,102.0,227.0,228.0,192.0,26,287.03238
US,Storage,185,228,99.56,0,7.0,3.85,95.45,2023,5,2,4,286.0,281.0,193.0,124.0,131.0,102.0,227.0,186.0,26,188.68994
Europe,Compute,262,284,99.51,0,7.0,3.85,95.45,2023,5,2,4,185.0,286.0,281.0,193.0,124.0,131.0,102.0,208.85714285714286,26,246.38632
Europe,Storage,130,151,99.55,0,7.0,3.85,95.45,2023,5,2,4,262.0,185.0,286.0,281.0,193.0,124.0,131.0,208.71428571428572,26,114.671104
India,Compute,101,125,99.64,0,7.0,3.85,95.45,2023,5,2,5,130.0,262.0,185.0,286.0,281.0,193.0,124.0,205.42857142857142,27,105.26344
India,Storage,272,321,99.85,0,7.0,3.85,95.45,2023,5,2,5,101.0,130.0,262.0,185.0,286.0,281.0,193.0,216.71428571428572,27,277.79242
US,Compute,257,297,99.67,0,7.0,3.85,95.45,2023,5,2,5,272.0,101.0,130.0,262.0,185.0,286.0,281.0,213.28571428571428,27,256.7656
US,Storage,245,274,99.79,0,7.0,3.85,95.45,2023,5,2,5,257.0,272.0,101.0,130.0,262.0,185.0,286.0,207.42857142857142,27,239.04564
Europe,Compute,269,328,99.56,0,7.0,3.85,95.45,2023,5,2,5,245.0,257.0,272.0,101.0,130.0,262.0,185.0,219.42857142857142,27,281.93225
Europe,Storage,218,272,99.6,0,7.0,3.85,95.45,2023,5,2,5,269.0,245.0,257.0,272.0,101.0,130.0,262.0,213.14285714285714,27,231.68987
India,Compute,261,299,99.55,1,7.0,3.85,95.45,2023,5,2,6,218.0,269.0,245.0,257.0,272.0,101.0,130.0,231.85714285714286,28,262.33228
India,Storage,189,233,99.86,1,7.0,3.85,95.45,2023,5,2,6,261.0,218.0,269.0,245.0,257.0,272.0,101.0,244.42857142857142,28,193.41948
US,Compute,258,283,99.52,1,7.0,3.85,95.45,2023,5,2,6,189.0,261.0,218.0,269.0,245.0,257.0,272.0,242.42857142857142,28,247.38356
US,Storage,189,214,99.95,1,7.0,3.85,95.45,2023,5,2,6,258.0,189.0,261.0,218.0,269.0,245.0,257.0,232.71428571428572,28,177.48076
Europe,Compute,222,259,99.59,1,7.0,3.85,95.45,2023,5,2,6,189.0,258.0,189.0,261.0,218.0,269.0,245.0,229.42857142857142,28,220.8865
Europe,Storage,164,188,99.84,1,7.0,3.85,95.45,2023,5,2,6,222.0,189.0,258.0,189.0,261.0,218.0,269.0,214.42857142857142,28,151.06306
India,Compute,254,311,99.7,0,7.0,3.85,95.45,2023,5,2,0,164.0,222.0,189.0,258.0,189.0,261.0,218.0,219.57142857142858,29,268.61246
India,Storage,224,273,99.57,0,7.0,3.85,95.45,2023,5,2,0,254.0,164.0,222.0,189.0,258.0,189.0,261.0,214.28571428571428,29,236.19725
US,Compute,194,223,99.54,0,7.0,3.85,95.45,2023,5,2,0,224.0,254.0,164.0,222.0,189.0,258.0,189.0,215.0,29,181.73909
US,Storage,138,181,99.8,0,7.0,3.85,95.45,2023,5,2,0,194.0,224.0,254.0,164.0,222.0,189.0,258.0,197.85714285714286,29,139.19318
Europe,Compute,178,211,99.77,0,7.0,3.85,95.45,2023,5,2,0,138.0,194.0,224.0,254.0,164.0,222.0,189.0,196.28571428571428,29,171.38583
Europe,Storage,217,267,99.83,0,7.0,3.85,95.45,2023,5,2,0,178.0,138.0,194.0,224.0,254.0,164.0,222.0,195.57142857142858,29,229.50986
India,Compute,148,204,99.64,0,7.0,3.85,95.45,2023,5,2,1,217.0,178.0,138.0,194.0,224.0,254.0,164.0,193.28571428571428,30,164.12498
India,Storage,202,246,99.84,0,7.0,3.85,95.45,2023,5,2,1,148.0,217.0,178.0,138.0,194.0,224.0,254.0,185.85714285714286,30,202.85156
